k,class_subset,embedding,clustering,precision,recall,f1
3,"[0, 1, 2]",w2v_pretrained,kmeans,0.7447,0.7426,0.7426
3,"[0, 1, 2]",w2v_pretrained,hac,0.7323,0.6791,0.689
3,"[0, 1, 2]",w2v_pretrained,spectral,0.5426,0.5679,0.4693
3,"[0, 1, 2]",w2v_pretrained,dbscan,0.6097,0.3431,0.2027
3,"[0, 1, 2]",w2v_pretrained,hdbscan,0.7012,0.3477,0.2126
3,"[0, 1, 3]",w2v_pretrained,kmeans,0.6801,0.6562,0.642
3,"[0, 1, 3]",w2v_pretrained,hac,0.6102,0.5793,0.5584
3,"[0, 1, 3]",w2v_pretrained,spectral,0.708,0.7107,0.707
3,"[0, 1, 4]",w2v_pretrained,kmeans,0.7648,0.7839,0.7677
3,"[0, 1, 4]",w2v_pretrained,hac,0.7704,0.7414,0.7456
3,"[0, 1, 4]",w2v_pretrained,spectral,0.8272,0.7788,0.7873
3,"[0, 2, 3]",w2v_pretrained,kmeans,0.5379,0.5029,0.4857
3,"[0, 2, 3]",w2v_pretrained,hac,0.5128,0.467,0.4472
3,"[0, 2, 3]",w2v_pretrained,spectral,0.5346,0.5084,0.4969
3,"[0, 2, 4]",w2v_pretrained,kmeans,0.7131,0.7118,0.7117
3,"[0, 2, 4]",w2v_pretrained,hac,0.6526,0.6461,0.6448
3,"[0, 2, 4]",w2v_pretrained,spectral,0.715,0.7094,0.7102
3,"[0, 3, 4]",w2v_pretrained,kmeans,0.6518,0.6035,0.6065
3,"[0, 3, 4]",w2v_pretrained,hac,0.6475,0.5332,0.5245
3,"[0, 3, 4]",w2v_pretrained,spectral,0.6601,0.5857,0.531
3,"[0, 3, 4]",w2v_pretrained,dbscan,0.4103,0.2391,0.1596
3,"[1, 2, 3]",w2v_pretrained,kmeans,0.4832,0.5068,0.4897
3,"[1, 2, 3]",w2v_pretrained,hac,0.5092,0.512,0.4972
3,"[1, 2, 3]",w2v_pretrained,spectral,0.6131,0.561,0.5071
3,"[1, 2, 3]",w2v_pretrained,hdbscan,0.3964,0.3486,0.2036
3,"[1, 2, 4]",w2v_pretrained,kmeans,0.7302,0.7425,0.7332
3,"[1, 2, 4]",w2v_pretrained,hac,0.6574,0.6723,0.6541
3,"[1, 2, 4]",w2v_pretrained,spectral,0.5287,0.4814,0.421
3,"[1, 2, 4]",w2v_pretrained,dbscan,0.4029,0.3893,0.3189
3,"[1, 2, 4]",w2v_pretrained,hdbscan,0.5997,0.3897,0.2848
3,"[1, 3, 4]",w2v_pretrained,kmeans,0.6246,0.6447,0.6222
3,"[1, 3, 4]",w2v_pretrained,hac,0.5294,0.5085,0.4331
